@id,id,_collection,_label,Author,_century,year,Manuscript number,Title,Language,Library/Collection,City,Theme,keywords,attribution,_description,imgUrl,Bibliography
https://iiifmanifests.ifilosofia.up.pt/api/manifests/7ad700e5-6525-4511-a8d4-cb060f177354.json,7ad700e5-6525-4511-a8d4-cb060f177354,Text-Diagrams,Device of astrological medicine,?,last quarter of the 15th century,15,"Egerton 2572, f. 51","Calendar, diagrams; medical texts",English and Latin,British Museum,London,Medicine,Medicine,"?, Calendar, diagrams; medical texts","A volvelle surrounded by four human figures. This chart apparatus has a moveable disc rotating (in the central part of the volvelle) with a moveable pointer that could be set for a particular day (in the wheel, in red, numbers from 1-30), at the sign and degree of the zodiac presented in a fixed matrix of concentric circles. It was then possible to calculate the best time for medical treatment. This device of astrological medicine also contains drawings of the Zodiac signs, their names and the respective months, and emblems for the labours of the months. For example, as represented by the image of a scythe, June is the time to harvest the hay. The volvelle is surrounded by the two major religious figures John the Baptist (holding the symbol of the Lamb of God) and John the Evangelist (with a cup and a tiny dragon), at the top, and at the bottom by the two physicians Saint Cosmas (holding an urine flask) and Damian (with a medicine box and spoon), all with scrolls bearing captions.",https://iiifmanifests.ifilosofia.up.pt/image-server/iiif/2/6511d89a-b767-4813-8912-d103fe3b061c_volvelle%20e%20figuras%20humanas.png,
https://iiifmanifests.ifilosofia.up.pt/api/manifests/fdbf4247-7ad9-4348-a7e9-5b717401d7c9.json,fdbf4247-7ad9-4348-a7e9-5b717401d7c9,Data (Storage / Indices / Tables / Charts),Six gates of Jerusalem,Pierre de Poitiers,2nd quarter of the 13th century,13,"Harley 627, f. 5v",Pierre de Poitiers' Compendium,Latin,British Library,London,Cartography; Religion,"Cartography,Religion",?,"Circular schematic plan of the walls of Jerusalem and its six gates that lead into the old city, where the “habitatio” of the king and priests is at the center and all the other “habitationes” surround it. Over different periods of history, the city had a varying number of gates, known also by a variety of names.",https://iiifmanifests.ifilosofia.up.pt/image-server/iiif/2/4bdccf0c-32b5-4032-af7b-9a86545c32ae_seis%20portas%20jerusalem.png,"- Solomon H. Steckoll, The Gates of Jerusalem, Praeger, 1968."
https://iiifmanifests.ifilosofia.up.pt/api/manifests/7ba8a61e-dea6-42a7-8a71-81742f534dfc.json,7ba8a61e-dea6-42a7-8a71-81742f534dfc,Text-Diagrams,Microcosm of the Soul,Robert Fludd,1619,15,999/2Philos.787(1/2),"Tomus Secundus De Supernaturali, Naturali, Praeternaturali Et Contranaturali Microcosmi historia : in Tractatus tres distributa",Latin,"Regensburg, Staatliche Bibliothek",Oppenhemii,Occultism,Occultism,Robert Fludd,"Diagram of the microcosm of the soul, located on page 217 at the end of liber X of the Tomus Secundus of the Microcosmi Historia, by Roberto Fludd. Fludd represents an example of seventeenth-century occultist approach to science, establishing a renewed tendency to view man as an image of God, in contrast to the early modern tendency to rationalisation.
A human face is presented in profile (facing left); the organs of the five senses are connected with dotted lines to a sphere with concentric circles labelled Mundus Sensibilis: Tactus links to Earth, Gustus to Water; Odour to Aer grossus (thick air); Vision to light and fire and Audition to Aer tenuis (thin air). In turn, this sphere is conneted to the frontal brain area where the sensitive and imaginative properties intersect revealing one of the three locations of the soul; another sphere with concentric circles emerges from it, labelled Mundus Imaginabilis which contains the shadows of the Mundus Sensibilis. In the central area of the brain, a worm (vermis) connects imagination with Mens Intelectus Ratio, revealing yet another section of the soul that embodies cognition and instinct; from it emerges the Mundus Intellectualis containing all celestial entities. Finally, to the right of the diagram, instinct is connected to memory and intention, yet another part of the soul, located in the extreme of the brain and in the spinal medulla, which is related to a triad of memory and vision as guardians of the three Mundus.",https://iiifmanifests.ifilosofia.up.pt/image-server/iiif/2/653086ad-e2a5-42a3-91aa-b0fc89b66ec5_Microcosm%20of%20the%20Soul.jpg,"William H. Huffman, ed., Robert Fludd: Essential Readings, London: Aquarian/Thorsons, 1992."
https://iiifmanifests.ifilosofia.up.pt/api/manifests/00d884a6-0567-4bf6-be45-48f0e71586bf.json,00d884a6-0567-4bf6-be45-48f0e71586bf,Data (Storage / Indices / Tables / Charts),The Course of the Sun,?,818,9,BSB Clm 210,Liber Calculationis,Latin,Bayerische Staatsbibliothek,Salzburg,Astronomy,Astronomy,?,"The Liber Calculationis is an extensive collection of astronomical and computistical texts, based on the Aachen Encyclopedia.  
The rotae of the Cursus Solis per Signa diagram, drawn on folio 136, is divided in 24 parts (two per month) indicating the calendar of the dates in which each zodiac enters and/or leaves each month. 
Equinoxes are aligned along the horizontal axis and solstices on the vertical one, notated on the exterior of the circle. Along the axis there is information on the duration (in hours) of day and night in each. Additional information on the dates in which equinoxes and solstices occur is given by along the intersection of the horizontal and vertical axis with the four sides of a square centred on the circle.
The equivalent De Cursu Lunae per Signa appears on the following folio.",https://iiifmanifests.ifilosofia.up.pt/image-server/iiif/2/cab5c8c8-fadd-4e75-91b6-eb51b4f008cb_The%20Course%20of%20the%20Sun.jpeg,"Arno BORST (Hrsg.): Schriften zur Komputistik im Frankenreich von 721 bis 818. Hannover 2006 (MGH Quellen zur Geistesgeschichte des Mittelalters 21), Teil 1, S. 257f."
https://iiifmanifests.ifilosofia.up.pt/api/manifests/7f7233fc-2869-4672-9626-b9fe2fb05a1e.json,7f7233fc-2869-4672-9626-b9fe2fb05a1e,Relational Schemes,Arbor viciorum,Robert de Lisle,c. 1310,14,"Arundel 83, f. 128v",Psalter,Latin,British Museum,London,Religion,Religion,"Robert de Lisle, Psalter",,https://iiifmanifests.ifilosofia.up.pt/image-server/iiif/2/0234bee8-e1ef-4636-8234-63353b58fc76_arvore%20dos%20vicios%20adao%20e%20eva.png,
https://iiifmanifests.ifilosofia.up.pt/api/manifests/01d6e9f8-ffcf-4f30-adf5-01e6649d6da1.json,01d6e9f8-ffcf-4f30-adf5-01e6649d6da1,Text-Diagrams,Aries,Marcus Tullius Cicero,9th century,9,"Harley 647, f. 2v","Aratea, a Latin version of the Phaenomena, with extracts from Hyginus's Astronomica in the constellation figures",Latin,British Library,London,Astrology,Astrology,?,"A full-page representation of the zodiacal sign Aries’s constellation, the ram, with its head, hooves and tail tip painted and the rest of the animal's body with text or scholia filling in the figure’s shapes.",https://iiifmanifests.ifilosofia.up.pt/image-server/iiif/2/a590e530-e66d-4807-aa7c-8c7679542212_aries%20com%20texto.png,"- T.S. Pattie, Astrology as Illustrated in the Collections of the British Library and the British Museum (London: British Library, 1980), p. 22, pl. 10."
https://iiifmanifests.ifilosofia.up.pt/api/manifests/82514a7b-206e-4dcb-be6d-ffdb8d222a34.json,82514a7b-206e-4dcb-be6d-ffdb8d222a34,Demonstrative Graphics,Phases of the Moon,Abbo Floriacensis,Early 11th century,11,MS R.15.32,Astronomical and Computistical miscellany,Latin and Old English,"Trinity College, Cambridge",Winchester,Astronomy and Computistics,Astronomy and Computistics,Abbo Floriacensis,"Diagram of the phases of the Moon as it rotates the Earth, on folio 5v of a computistical miscellany codex that includes texts by Abbo, Capella, Higinus, Helperic and more. The diagram is composed of a large circle around which the Moon circulates, divided horizontally into northern and southern hemispheres. Reading anti-clockwise, the sun occupies the place of the new moon on the right of the horizontal axis, and the full moon occupies the opposite side. The first moon shape after the sun is the waxing crescent (monoides), then the first quarter (diatomos), on top, also contains the corresponding numeral/day (VIII), then the waxing gibbous at luna XII (amphicirtos), full moon on phase XV (panselenos), waning gibbous (luna XVIII), second quarter (XXII) and finally the waning crescent (XXVII).",https://iiifmanifests.ifilosofia.up.pt/image-server/iiif/2/a48da558-d0b8-4878-bf27-c0d95842ea0a_Phases%20of%20the%20Moon.jpg,"Chardonnens, L. S., Anglo-Saxon Prognostics, 900-1100: Study and Texts (Leiden, 2007)
Eastwood, B., Astronomy in Christian Latin Europe c.500-c.1150, Journal for the history of astronomy 28 (Cambridge, 1997) p. 235-258."
https://iiifmanifests.ifilosofia.up.pt/api/manifests/0343e422-ab98-4523-b942-166fa4abb621.json,0343e422-ab98-4523-b942-166fa4abb621,Data (Storage / Indices / Tables / Charts),Apuleian Sphere,"Bede, the Venerable",12th century,12,Mss/19,Tratados varios,Latin,Biblioteca Nacional de Espana,Italy,Prognostics,Prognostics,"Bede, the Venerable","Known as the Codex Matritensis, this manuscript assembles various texts (and extracts) on computus, including Bede, Isidorus, Solinus, Germanicus, Saint Augustine and Saint Gregory. The diagram of the Apuleian Sphere can be found on folio 88r, accompanying the text 'Ratio sp(h)ere pitagore quam apuleius descripsit'. It is a prognostication tool, used to predict the outcomes of a patient's disease, based on associations and calculations involving the numerical, alphabetical, astrological and atmospherical data, highlighting the Moon's influence on the body's health. In a different hand, at a posterior phase, fourteen classical winds were added; around the 18th century, yet another reader added 'oriente' and 'ocaso' to the diagram, some marginal notes in Latin and a four-verse poem in Spanish.",https://iiifmanifests.ifilosofia.up.pt/image-server/iiif/2/a3d5667e-b0ea-448f-803b-80a63af2e3bb_Apuleian%20Sphere.jpg,"Garcia Aviles, Alejandro, El manuscrito 19 de la Biblioteca Nacional de Madrid : un codice computistico de origen controvertido, en IMAFRONTE n. 10 -1994(1996), p. 41-50."
https://iiifmanifests.ifilosofia.up.pt/api/manifests/837d0bb2-4839-45c6-8732-256d4eeff87a.json,837d0bb2-4839-45c6-8732-256d4eeff87a,Text-Diagrams,Syllogism diagram,Paulus de Venetiis,14th century,14,"Ripoll, 144",[Logica parva],Latin and Catalan,Archivo de la Corona de Aragon,?,Logic,Logic,Paulus de Venetiis,"Illustrating a commentary on Aristotles' definition of syllogisms, this circular diagram presents fifteen imperfect moods in the outer ring, which in turn radiate to the inside of the circle where the four perfect moods are arranged. It is found on a manuscript of Paul of Venice's Logica Parva, folio 7r. Paul’s Logica is part of the late medieval logic and semantics traditions; it had an influence on posterior authors and his works were frequently published and widely read up to the seventeenth century.",https://iiifmanifests.ifilosofia.up.pt/image-server/iiif/2/505d3de4-02f8-446e-8967-ef7f7724b7bd_Syllogism%20diagram%20.jpg,"Zacharias Garcia Villada, 'Bibliotheca Patrum Latinorum Hispaniensis', II Band, 1 Teil, Wien, 1915.
Conti, Alessandro D., 'Esistenza e verita. forme e strutture del reale in Paolo Veneto e nel pensiero filosofico del tardo Medioevo.' Roma: Istituto storico italiano per il Medio Evo, 1996.
"
https://iiifmanifests.ifilosofia.up.pt/api/manifests/05b8222a-be2d-494a-8f83-b0a10446b156.json,05b8222a-be2d-494a-8f83-b0a10446b156,Knowledge-Experience Simulations,Alchemy and the Bird of Hermes,George Ripley (?),Late 16th century-Early 17th century,16,"Add MS 5025, f. 1cr",Alchemical rolls (The Ripley Scrolls),Latin and English,British Library,London,Alchemy,Alchemy,George Ripley,"Under a sun depicted with a human face and orange is a female figure represented as a bird: a female face on whose long blond hair sits a crown, her bare breasts and the rest of her body are representations of a bird: wings and feathers. It is the Bird of Hermes, whose paws stand on an orange orb with several spade-shaped rays, and the bird is biting one of its own wings. The Bird of Hermes represents regeneration.",https://iiifmanifests.ifilosofia.up.pt/image-server/iiif/2/3f157864-a6e7-4b45-bfc3-15d8f82d608a_hermes%20morde%20asa.png,"- Stanton J. Linden, 'Reading the Ripley Scrolls: Iconographic Patterns in Renaissance Alchemy', in European Iconography, East and West: Selected Papers of the Szeged International Conference, June 9-12, 1993, ed. by György E. Szőnyi, Symbola et Emblemata: Studies in Renaissance and Baroque Symbolism, 7 (Leiden: Brill, 1996), pp. 236-49 (p. 237).
- R. Ian McCallum, 'Alchemical Scrolls Associated with George Ripley', in Mystical Metal of Gold: Essays on Alchemy and Renaissance Culture, ed. by Stanton J. Linden (Brooklyn: AMS Press, 2007), pp. 161-88 (pp. 167, 174-75, 179, 181-82, fig. 5)."
